,State,ST,Fips,County,Votes,votes16_trumpd,votes16_clintonh,win,POP2010,ESTPOP2010,ESTPOP2016,White,Black,Latino,High_Edu,Median_Income
0,Alabama,AL,1019,"Cherokee County, Alabama",10503,8809,1524,Trump,25989,25986,25725,93.1,4.31,1.61,13.7,38925
1,Alabama,AL,1101,"Montgomery County, Alabama",94572,33928,58669,Clinton,229363,229385,226349,37.23,58.08,3.34,31.3,45358
2,Alabama,AL,1063,"Greene County, Alabama",4862,838,4006,Clinton,9045,9045,8422,18.14,80.6,1.19,11.5,21339
3,Alabama,AL,1083,"Limestone County, Alabama",39400,28824,9340,Trump,82782,82782,92753,81.69,13.54,5.78,23.1,51115
4,Alabama,AL,1069,"Houston County, Alabama",42030,30567,10547,Trump,101547,101555,104056,69.64,26.89,3.25,20.1,41945
5,Alabama,AL,1059,"Franklin County, Alabama",11955,9466,2197,Trump,31704,31709,31628,91.43,4.81,16.79,10.9,36138
6,Alabama,AL,1065,"Hale County, Alabama",8010,3172,4772,Clinton,15760,15760,14952,41.02,57.76,1.36,14,33351
7,Alabama,AL,1075,"Lamar County, Alabama",6931,5819,1035,Trump,14564,14564,13918,87.33,10.77,1.45,11.4,34298
8,Alabama,AL,1053,"Escambia County, Alabama",15213,10282,4698,Trump,38319,38319,37728,61.95,32.15,2.17,12.5,32334
9,Alabama,AL,1023,"Choctaw County, Alabama",7268,4102,3109,Trump,13859,13858,12993,57.35,41.61,0.96,12.8,32622
10,Alabama,AL,1055,"Etowah County, Alabama",43474,32132,10350,Trump,104430,104427,102564,80.98,15.62,3.8,15.4,40478
11,Alabama,AL,1025,"Clarke County, Alabama",12936,7109,5712,Trump,25833,25833,24392,53.81,44.29,1.43,11.9,32735
12,Alabama,AL,1047,"Dallas County, Alabama",18730,5784,12826,Clinton,43820,43820,40008,28.18,70.26,1.06,14.5,28136
13,Alabama,AL,1029,"Cleburne County, Alabama",6532,5738,684,Trump,14972,14972,14924,94.95,3.18,2.45,10.6,36316
14,Alabama,AL,1123,"Tallapoosa County, Alabama",18504,12967,5271,Trump,41616,41618,40727,70.75,27,2.46,17.6,39395
15,Alabama,AL,1045,"Dale County, Alabama",18617,13798,4408,Trump,50251,50247,49226,74.56,20.41,6.15,16.9,44093
16,Alabama,AL,1017,"Chambers County, Alabama",13778,7803,5763,Trump,34215,34170,33843,57.67,39.74,2.26,12.2,36027
17,Alabama,AL,1089,"Madison County, Alabama",159473,89199,62435,Trump,334811,334811,356967,69.02,24.84,4.82,38.6,60150
18,Alabama,AL,1117,"Shelby County, Alabama",99208,72846,22927,Trump,195085,195218,210622,83.67,12.41,5.74,40.2,72310
19,Alabama,AL,1109,"Pike County, Alabama",13025,7681,5039,Trump,32899,32899,33286,57.49,37.66,2.17,23.6,33193
20,Alabama,AL,1011,"Bullock County, Alabama",4701,1139,3530,Clinton,10914,10911,10362,26.38,70.44,7.79,14.1,29335
21,Alabama,AL,1125,"Tuscaloosa County, Alabama",81708,47701,31746,Trump,194656,194657,206102,65.09,31.79,3.51,27.7,48022
22,Alabama,AL,1085,"Lowndes County, Alabama",6676,1751,4882,Clinton,11299,11289,10358,25.17,73.41,1.52,13.2,27914
