	sentiment	handles
0	0.0	['@theblaze', '@realDonaldTrump']
1	0.0	['@BarackObama', '@LORETTALYNCH', '@realDonaldTrump']
2	0.0	['@theblaze', '@realDonaldTrump']
3	0.0	['@HillaryClinton']
4	0.3818	
5	0.0	['@realDonaldTrump']
6	0.0	
7	0.4215	['@funnyordie', '@realDonaldTrump']
8	-0.8834	['@HillaryClinton']
9	0.0772	['@Geraldanthro', '@NeilTurner_', '@realDonaldTrump', '@washingtonpost']
10	0.4404	['@mike4193496', '@realDonaldTrump']
11	-0.959	['@realDonaldTrump', '@elsolarverde']
12	0.0	['@HillaryClinton', '@realDonaldTrump']
13	-0.6908	['@CribBoss', '@WesSmith123', '@realDonaldTrump']
14	0.0	['@HillaryClinton', '@TeamUSA', '@realDonaldTrump']
15	-0.5267	
16	-0.765	['@HillaryClinton']
17	0.0	
18	-0.7003	['@sherrilee7', '@seanhannity', '@HillaryClinton']
19	-0.5574	['@realDonaldTrump']
20	0.4215	['@RT_Erdogan', '@econofpak', '@Asad_Umar', '@AsimBajwaISPR', '@HillaryClinton']
21	0.0	['@HillaryClinton']
22	-0.4019	['@HillaryClinton', '@TeamUSA', '@realDonaldTrump']
23	-0.4404	['@NAHBhome', '@realDonaldTrump', '@JoeNBC']
24	-0.743	
25	0.1531	['@realDonaldTrump']
26	0.25	['@BarackObama', '@HillaryClinton', '@FoxNews']
27	0.1779	['@LouDobbs', '@realDonaldTrump', '@FoxNews']
28	-0.2732	
29	0.0	
30	0.5859	['@realDonaldTrump']
31	0.7717	['@HillaryClinton']
32	-0.8126	
33	-0.4767	['@realDonaldTrump', '@elsolarverde']
34	0.0	['@realDonaldTrump']
35	-0.1531	['@realDonaldTrump']
36	0.6249	['@realDonaldTrump']
37	0.0	['@realDonaldTrump']
38	-0.2263	['@LouDobbs', '@realDonaldTrump', '@FoxNews']
39	0.0	
40	-0.743	['@realDonaldTrump']
41	0.296	
42	0.0	['@realDonaldTrump']
43	0.0	['@dustin_barnes02', '@LyndaG1963', '@HillaryClinton']
44	0.0	['@NewDay', '@ChrisCuomo', '@realDonaldTrump']
45	0.5859	
46	-0.4404	['@reg1776', '@HillaryClinton']
47	-0.7184	
48	-0.8519	['@JoeNBC', '@realDonaldTrump']
49	0.0	['@MichaelCohen212', '@NewDay', '@ChrisCuomo', '@realDonaldTrump']
50	-0.6705	
51	0.743	['@AJDelgado13', '@HarveyAckerman', '@realDonaldTrump']
52	0.0	['@MichaelCohen212', '@NewDay', '@ChrisCuomo', '@realDonaldTrump']
53	0.0	['@MichaelCohen212', '@NewDay', '@ChrisCuomo', '@realDonaldTrump']
54	-0.5106	['@realDonaldTrump']
55	0.6124	['@Varneyco', '@JudgeMoroz', '@KatrinaPierson', '@realDonaldTrump']
56	0.0258	['@RealKhizrKhan', '@HillaryClinton']
57	0.0	['@izzysteph1', '@CWestwood1985', '@realDonaldTrump']
58	0.0	['@MichaelCohen212', '@NewDay', '@ChrisCuomo', '@realDonaldTrump']
59	0.0	
60	0.0	['@MichaelCohen212', '@NewDay', '@ChrisCuomo', '@realDonaldTrump']
61	-0.4019	['@realDonaldTrump', '@JoeNBC']
62	0.0	
63	0.0	['@MichaelCohen212', '@NewDay', '@ChrisCuomo', '@realDonaldTrump']
64	0.0	['@MichaelCohen212', '@NewDay', '@ChrisCuomo', '@realDonaldTrump']
65	0.0	['@MichaelCohen212', '@NewDay', '@ChrisCuomo', '@realDonaldTrump']
66	0.0	['@realDonaldTrump', '@elsolarverde', '@_Gerasim_']
67	0.0	['@MichaelCohen212', '@NewDay', '@ChrisCuomo', '@realDonaldTrump']
68	0.0	
69	0.0	['@MichaelCohen212', '@NewDay', '@ChrisCuomo', '@realDonaldTrump']
70	-0.25	['@DirtyCoastDawg', '@Patriotic_Me', '@HillaryClinton', '@RealStrategyFan', '@YouTube']
71	0.0	['@MichaelCohen212', '@NewDay', '@ChrisCuomo', '@realDonaldTrump']
72	0.0	['@HillaryClinton', '@realDonaldTrump']
73	-0.5106	['@realDonaldTrump']
74	0.0	['@MichaelCohen212', '@NewDay', '@ChrisCuomo', '@realDonaldTrump']
75	-0.5106	['@realDonaldTrump']
76	0.0	['@downtownusa1', '@MichaelCohen212', '@NewDay', '@ChrisCuomo', '@realDonaldTrump']
77	-0.6597	['@JesseRodriguez', '@realDonaldTrump', '@JoeNBC']
78	-0.296	['@FoxNews', '@RealBenCarson', '@realDonaldTrump']
79	0.0	['@downtownusa1', '@MichaelCohen212', '@NewDay', '@ChrisCuomo', '@realDonaldTrump']
80	-0.5106	['@realDonaldTrump']
81	-0.296	['@realDonaldTrump', '@EnemyWithinn', '@elsolarverde', '@nytimesMedia']
82	0.0	['@downtownusa1', '@MichaelCohen212', '@NewDay', '@ChrisCuomo', '@realDonaldTrump']
83	0.296	['@realDonaldTrump', '@HillaryClinton']
