	language	country	zipcode
0	und	United States	[SimpleZipcode(zipcode='63131', zipcode_type='Standard', major_city='Saint Louis', post_office_city='Saint Louis, MO', common_city_list=['Saint Louis', 'Des Peres', 'Frontenac'], county='St. Louis County', state='MO', lat=38.61, lng=-90.45, timezone='Central', radius_in_miles=3.0, area_code_list=['314'], population=16769, population_density=1205.0, land_area_in_sqmi=13.92, water_area_in_sqmi=0.0, housing_units=6416, occupied_housing_units=6097, median_home_value=491000, median_household_income=132500, bounds_west=-90.490632, bounds_east=-90.400795, bounds_north=38.652068, bounds_south=38.579888)]
1	en	United States	[SimpleZipcode(zipcode='70815', zipcode_type='Standard', major_city='Baton Rouge', post_office_city='Baton Rouge, LA', common_city_list=['Baton Rouge'], county='East Baton Rouge Parish', state='LA', lat=30.45, lng=-91.07, timezone='Central', radius_in_miles=3.0, area_code_list=['225'], population=30075, population_density=3139.0, land_area_in_sqmi=9.58, water_area_in_sqmi=0.0, housing_units=12129, occupied_housing_units=11184, median_home_value=160100, median_household_income=47979, bounds_west=-91.108933, bounds_east=-91.02687, bounds_north=30.474452, bounds_south=30.430944)]
2	und	United States	[SimpleZipcode(zipcode='63131', zipcode_type='Standard', major_city='Saint Louis', post_office_city='Saint Louis, MO', common_city_list=['Saint Louis', 'Des Peres', 'Frontenac'], county='St. Louis County', state='MO', lat=38.61, lng=-90.45, timezone='Central', radius_in_miles=3.0, area_code_list=['314'], population=16769, population_density=1205.0, land_area_in_sqmi=13.92, water_area_in_sqmi=0.0, housing_units=6416, occupied_housing_units=6097, median_home_value=491000, median_household_income=132500, bounds_west=-90.490632, bounds_east=-90.400795, bounds_north=38.652068, bounds_south=38.579888)]
3	en	Australia	[]
4	en	United States	[SimpleZipcode(zipcode='21201', zipcode_type='Standard', major_city='Baltimore', post_office_city='Baltimore, MD', common_city_list=['Baltimore'], county='Baltimore city', state='MD', lat=39.29, lng=-76.62, timezone='Eastern', radius_in_miles=1.0, area_code_list=['410', '443', '667', '301'], population=16972, population_density=13158.0, land_area_in_sqmi=1.29, water_area_in_sqmi=0.0, housing_units=11255, occupied_housing_units=9765, median_home_value=208500, median_household_income=27465, bounds_west=-76.634132, bounds_east=-76.613775, bounds_north=39.31214, bounds_south=39.278926)]
5	en	United States	[SimpleZipcode(zipcode='92234', zipcode_type='Standard', major_city='Cathedral City', post_office_city='Cathedral City, CA', common_city_list=['Cathedral City', 'Cathedral Cty'], county='Riverside County', state='CA', lat=33.82, lng=-116.47, timezone='Pacific', radius_in_miles=5.0, area_code_list=['760'], population=51151, population_density=3251.0, land_area_in_sqmi=15.73, water_area_in_sqmi=0.26, housing_units=20958, occupied_housing_units=17019, median_home_value=179400, median_household_income=44440, bounds_west=-116.493477, bounds_east=-116.440566, bounds_north=33.867515, bounds_south=33.759202)]
6	und	United Kingdom	[]
7	en	United States	[SimpleZipcode(zipcode='07094', zipcode_type='Standard', major_city='Secaucus', post_office_city='Secaucus, NJ', common_city_list=['Secaucus'], county='Hudson County', state='NJ', lat=40.78, lng=-74.06, timezone='Eastern', radius_in_miles=2.0, area_code_list=['201', '908', '973'], population=16264, population_density=2794.0, land_area_in_sqmi=5.82, water_area_in_sqmi=0.78, housing_units=6846, occupied_housing_units=6297, median_home_value=403800, median_household_income=85392, bounds_west=-74.09545, bounds_east=-74.033791, bounds_north=40.807702, bounds_south=40.748802)]
8	en	United States	[SimpleZipcode(zipcode='75062', zipcode_type='Standard', major_city='Irving', post_office_city='Irving, TX', common_city_list=['Irving'], county='Dallas County', state='TX', lat=32.85, lng=-96.96, timezone='Central', radius_in_miles=5.0, area_code_list=['214', '469', '817', '972'], population=44537, population_density=4052.0, land_area_in_sqmi=10.99, water_area_in_sqmi=0.09, housing_units=17955, occupied_housing_units=16201, median_home_value=121600, median_household_income=45872, bounds_west=-97.022078, bounds_east=-96.888782, bounds_north=32.869448, bounds_south=32.830489)]
9	en	Australia	[]
10	en	United States	[SimpleZipcode(zipcode='20689', zipcode_type='Standard', major_city='Sunderland', post_office_city='Sunderland, MD', common_city_list=['Sunderland'], county='Calvert County', state='MD', lat=38.67, lng=-76.58, timezone='Eastern', radius_in_miles=2.0, area_code_list=['410'], population=1694, population_density=218.0, land_area_in_sqmi=7.78, water_area_in_sqmi=0.02, housing_units=579, occupied_housing_units=558, median_home_value=400900, median_household_income=127375, bounds_west=-76.616886, bounds_east=-76.549708, bounds_north=38.694154, bounds_south=38.63247)]
11	en	United States	[SimpleZipcode(zipcode='49037', zipcode_type='Standard', major_city='Battle Creek', post_office_city='Battle Creek, MI', common_city_list=['Battle Creek', 'Springfield'], county='Calhoun County', state='MI', lat=42.32, lng=-85.24, timezone='Eastern', radius_in_miles=5.0, area_code_list=['269'], population=22576, population_density=911.0, land_area_in_sqmi=24.79, water_area_in_sqmi=0.48, housing_units=10567, occupied_housing_units=9081, median_home_value=66400, median_household_income=30416, bounds_west=-85.298298, bounds_east=-85.179761, bounds_north=42.377001, bounds_south=42.275602)]
12	en	United States	[SimpleZipcode(zipcode='40243', zipcode_type='Standard', major_city='Louisville', post_office_city='Louisville, KY', common_city_list=['Louisville', 'Douglass Hills', 'Douglass Hls', 'Middletown...'], county='Jefferson County', state='KY', lat=38.24, lng=-85.53, timezone='Eastern', radius_in_miles=2.0, area_code_list=['502'], population=10210, population_density=2545.0, land_area_in_sqmi=4.01, water_area_in_sqmi=0.01, housing_units=4912, occupied_housing_units=4595, median_home_value=187300, median_household_income=61691, bounds_west=-85.562144, bounds_east=-85.504845, bounds_north=38.258068, bounds_south=38.223346)]
13	en	United States	[SimpleZipcode(zipcode='52801', zipcode_type='Standard', major_city='Davenport', post_office_city='Davenport, IA', common_city_list=['Davenport'], county='Scott County', state='IA', lat=41.52, lng=-90.57, timezone='Central', radius_in_miles=0.7386363636363636, area_code_list=['563'], population=1122, population_density=3094.0, land_area_in_sqmi=0.36, water_area_in_sqmi=0.16, housing_units=728, occupied_housing_units=645, median_home_value=None, median_household_income=15969, bounds_west=-90.583218, bounds_east=-90.56255, bounds_north=41.525734, bounds_south=41.515188)]
14	en	Australia	[]
15	en	United States	[]
16	en	United States	[SimpleZipcode(zipcode='75062', zipcode_type='Standard', major_city='Irving', post_office_city='Irving, TX', common_city_list=['Irving'], county='Dallas County', state='TX', lat=32.85, lng=-96.96, timezone='Central', radius_in_miles=5.0, area_code_list=['214', '469', '817', '972'], population=44537, population_density=4052.0, land_area_in_sqmi=10.99, water_area_in_sqmi=0.09, housing_units=17955, occupied_housing_units=16201, median_home_value=121600, median_household_income=45872, bounds_west=-97.022078, bounds_east=-96.888782, bounds_north=32.869448, bounds_south=32.830489)]
17	en	Italy	[]
18	en	United States	[SimpleZipcode(zipcode='32603', zipcode_type='Standard', major_city='Gainesville', post_office_city='Gainesville, FL', common_city_list=['Gainesville'], county='Alachua County', state='FL', lat=29.656, lng=-82.348, timezone='Eastern', radius_in_miles=0.6818181818181818, area_code_list=['352'], population=6741, population_density=4925.0, land_area_in_sqmi=1.37, water_area_in_sqmi=0.01, housing_units=2316, occupied_housing_units=2127, median_home_value=273000, median_household_income=17857, bounds_west=-82.372499, bounds_east=-82.339171, bounds_north=29.662835, bounds_south=29.637635)]
19	en	Indonesia	[]
20	en	Pakistan	[]
21	en	United States	[SimpleZipcode(zipcode='75062', zipcode_type='Standard', major_city='Irving', post_office_city='Irving, TX', common_city_list=['Irving'], county='Dallas County', state='TX', lat=32.85, lng=-96.96, timezone='Central', radius_in_miles=5.0, area_code_list=['214', '469', '817', '972'], population=44537, population_density=4052.0, land_area_in_sqmi=10.99, water_area_in_sqmi=0.09, housing_units=17955, occupied_housing_units=16201, median_home_value=121600, median_household_income=45872, bounds_west=-97.022078, bounds_east=-96.888782, bounds_north=32.869448, bounds_south=32.830489)]
22	en	Australia	[]
23	en	United States	[]
24	en	United States	[SimpleZipcode(zipcode='34983', zipcode_type='Standard', major_city='Port Saint Lucie', post_office_city='Port Saint Lucie, FL', common_city_list=['Port Saint Lucie', 'Fort Pierce', 'Port St Lucie', 'Saint Lucie ...'], county='St. Lucie County', state='FL', lat=27.32, lng=-80.35, timezone='Eastern', radius_in_miles=4.0, area_code_list=['772'], population=38480, population_density=2569.0, land_area_in_sqmi=14.98, water_area_in_sqmi=0.24, housing_units=15795, occupied_housing_units=14014, median_home_value=114200, median_household_income=47978, bounds_west=-80.38406, bounds_east=-80.31324, bounds_north=27.37451, bounds_south=27.271862)]
25	en	United States	[SimpleZipcode(zipcode='94590', zipcode_type='Standard', major_city='Vallejo', post_office_city='Vallejo, CA', common_city_list=['Vallejo'], county='Solano County', state='CA', lat=38.1, lng=-122.25, timezone='Pacific', radius_in_miles=3.0, area_code_list=['707'], population=35420, population_density=5959.0, land_area_in_sqmi=5.94, water_area_in_sqmi=0.97, housing_units=15729, occupied_housing_units=13851, median_home_value=181700, median_household_income=41819, bounds_west=-122.281398, bounds_east=-122.225885, bounds_north=38.132364, bounds_south=38.061018)]
