State;ST;Fips;County;Gini.Coefficient;Republicans_2016;Democrats_2016
Alabama;AL;1019;Cherokee County, Alabama;0,3049;0,8387;0,1451
Alabama;AL;1101;Montgomery County, Alabama;0,3285;0,3588;0,0620
Alabama;AL;1063;Greene County, Alabama;0,3361;1,7236;0,0824
Alabama;AL;1083;Limestone County, Alabama;0,3021;0,7316;0,2371
Alabama;AL;1069;Houston County, Alabama;0,3236;0,0727;0,0025
Alabama;AL;1059;Franklin County, Alabama;0,3153;0,7918;0,0184
Alabama;AL;1065;Hale County, Alabama;0,0333;3,9600;0,0596
Alabama;AL;1075;Lamar County, Alabama;0,3438;0,8396;0,1493
Alabama;AL;1053;Escambia County, Alabama;0,3222;0,6759;0,0309
Alabama;AL;1023;Choctaw County, Alabama;0,3174;0,5644;0,0428
Alabama;AL;1055;Etowah County, Alabama;0,3146;0,7391;0,2381
Alabama;AL;1025;Clarke County, Alabama;0,3632;0,5496;0,0442
Alabama;AL;1047;Dallas County, Alabama;0,3576;3,0881;0,0685
Alabama;AL;1029;Cleburne County, Alabama;0,2944;0,8784;0,1047
Alabama;AL;1123;Tallapoosa County, Alabama;0,3451;0,0701;0,0285
Alabama;AL;1045;Dale County, Alabama;0,2944;0,7412;0,0237
Alabama;AL;1017;Chambers County, Alabama;0,2951;5,6634;0,0418
Alabama;AL;1089;Madison County, Alabama;0,3153;0,5593;0,0392
Alabama;AL;1117;Shelby County, Alabama;0,3014;0,7343;0,2311
Alabama;AL;1109;Pike County, Alabama;0,3569;0,5897;0,3869
Alabama;AL;1011;Bullock County, Alabama;0,3701;2,4229;0,0751
Alabama;AL;1125;Tuscaloosa County, Alabama;0,3389;0,5838;0,0039
Alabama;AL;1085;Lowndes County, Alabama;0,3514;0,0262;0,0073
Alabama;AL;1087;Macon County, Alabama;0,3354;1,5935;0,0827
Alabama;AL;1121;Talladega County, Alabama;0,0306;0,6200;0,0365
Alabama;AL;1071;Jackson County, Alabama;0,3042;0,8007;0,1762
Alabama;AL;1073;Jefferson County, Alabama;0,3417;0,4502;0,0522
Alabama;AL;1043;Cullman County, Alabama;0,3090;0,0878;0,1001
Alabama;AL;1103;Morgan County, Alabama;0,3049;0,7480;0,2244
Alabama;AL;1031;Coffee County, Alabama;0,3139;0,7715;0,2045
Alabama;AL;1033;Colbert County, Alabama;0,3021;0,6789;0,0296
Alabama;AL;1013;Butler County, Alabama;0,3215;0,5632;0,0428
Alabama;AL;1097;Mobile County, Alabama;0,3285;0,5575;0,0042
Alabama;AL;1133;Winston County, Alabama;0,3139;0,8996;0,0849
Alabama;AL;1009;Blount County, Alabama;0,2931;0,8985;0,0847
Alabama;AL;1049;DeKalb County, Alabama;0,3153;0,8349;0,1411
Alabama;AL;1037;Coosa County, Alabama;0,3076;0,6464;0,3408
Alabama;AL;1081;Lee County, Alabama;0,3326;0,5951;0,0364
Alabama;AL;1027;Clay County, Alabama;0,2924;0,0796;0,1878
Alabama;AL;1015;Calhoun County, Alabama;0,3146;0,6924;0,2786
Alabama;AL;1005;Barbour County, Alabama;0,3222;0,5227;0,0467
Alabama;AL;1095;Marshall County, Alabama;0,3208;0,8356;0,1405
Alabama;AL;1039;Covington County, Alabama;0,3299;0,8359;0,1504
Alabama;AL;1105;Perry County, Alabama;0,0326;2,6698;0,0727
Alabama;AL;1079;Lawrence County, Alabama;0,2771;0,7339;0,0247
Alabama;AL;1093;Marion County, Alabama;0,3118;0,8731;0,1109
Alabama;AL;1099;Monroe County, Alabama;0,3354;0,5666;0,0423
Alabama;AL;1007;Bibb County, Alabama;0,2854;0,7697;0,2142
Alabama;AL;1057;Fayette County, Alabama;0,2903;0,8181;0,1657
Alabama;AL;1115;St. Clair County, Alabama;0,2882;0,8324;0,0146
Alabama;AL;1129;Washington County, Alabama;0,0313;0,0710;0,0279
Alabama;AL;1077;Lauderdale County, Alabama;0,3201;0,7146;0,2545
Alabama;AL;1061;Geneva County, Alabama;0,3167;0,8549;0,1305
Alabama;AL;1051;Elmore County, Alabama;0,2813;0,7484;0,0023
Alabama;AL;1107;Pickens County, Alabama;0,3146;5,7447;0,4184
Alabama;AL;1113;Russell County, Alabama;0,2979;0,4813;0,5005
Alabama;AL;1119;Sumter County, Alabama;0,3556;2,4738;0,0742
Alabama;AL;1091;Marengo County, Alabama;0,3361;4,7716;0,5121
Alabama;AL;1003;Baldwin County, Alabama;0,3049;0,0774;0,1957
Alabama;AL;1041;Crenshaw County, Alabama;0,3236;0,0722;0,2660
Alabama;AL;1001;Autauga County, Alabama;0,2813;0,7344;0,2396
Alabama;AL;1127;Walker County, Alabama;0,3174;0,8278;0,1534
Alabama;AL;1131;Wilcox County, Alabama;0,3479;2,8499;0,0710
Alabama;AL;1035;Conecuh County, Alabama;0,3361;5,2163;0,0047
Alabama;AL;1111;Randolph County, Alabama;0,3396;0,0760;0,2261
Alabama;AL;1067;Henry County, Alabama;0,3097;0,7014;0,2851
Alabama;AL;1021;Chilton County, Alabama;0,3132;0,8254;0,1594
Alaska;AK;2130;Ketchikan Gateway Borough, Alaska;0,2736;0,5100;0,3655
Alaska;AK;2282;Yakutat City and Borough, Alaska;0,2618;0,5100;0,3655
Alaska;AK;2013;Aleutians East Borough, Alaska;0,2771;0,5100;0,3655
Alaska;AK;2240;Southeast Fairbanks Census Area, Alaska;0,2549;0,5100;0,3655
Alaska;AK;2090;Fairbanks North Star Borough, Alaska;0,2806;0,5100;0,3655
Alaska;AK;2220;Sitka City and Borough, Alaska;0,2681;0,5100;0,3655
Alaska;AK;2290;Yukon-Koyukuk Census Area, Alaska;0,3118;0,5100;0,3655
Alaska;AK;2100;Haines Borough, Alaska;0,0285;0,5100;0,3655
Alaska;AK;2050;Bethel Census Area, Alaska;0,3097;0,5100;0,3655
Alaska;AK;2188;Northwest Arctic Borough, Alaska;0,2701;0,5100;0,3655
Alaska;AK;2150;Kodiak Island Borough, Alaska;0,2681;0,5100;0,3655
Alaska;AK;2105;Hoonah-Angoon Census Area, Alaska;0,2861;0,5100;0,3655
Alaska;AK;2170;Matanuska-Susitna Borough, Alaska;0,2688;0,5100;0,3655
Alaska;AK;2110;Juneau City and Borough, Alaska;0,2694;0,5100;0,3655
Alaska;AK;2164;Lake and Peninsula Borough, Alaska;0,2972;0,5100;0,3655
Alaska;AK;2070;Dillingham Census Area, Alaska;0,2840;0,5100;0,3655
Alaska;AK;2185;North Slope Borough, Alaska;0,2597;0,5100;0,3655
Alaska;AK;2020;Anchorage Municipality, Alaska;0,2889;0,5100;0,3655
Alaska;AK;2122;Kenai Peninsula Borough, Alaska;0,0292;0,5100;0,3655
Alaska;AK;2270;Wade Hampton Census Area, Alaska;0,2833;0,5100;0,3655
Alaska;AK;2198;Prince of Wales-Hyder Census Area, Alaska;0,2806;0,5100;0,3655
Alaska;AK;2060;Bristol Bay Borough, Alaska;0,2382;0,5100;0,3655
Alaska;AK;2180;Nome Census Area, Alaska;0,2979;0,5100;0,3655
Alaska;AK;2195;Petersburg Census Area, Alaska;0,0250;0,5100;0,3655
Alaska;AK;2068;Denali Borough, Alaska;0,2417;0,5100;0,3655
Alaska;AK;2275;Wrangell City and Borough, Alaska;0,3160;0,5100;0,3655
Alaska;AK;2230;Skagway Municipality, Alaska;0,2556;0,5100;0,3655
Alaska;AK;2261;Valdez-Cordova Census Area, Alaska;0,0264;0,5100;0,3655
Arizona;AZ;4012;La Paz County, Arizona;0,3035;0,0686;0,0267
Arizona;AZ;4021;Pinal County, Arizona;0,2750;5,7414;0,0381
Arizona;AZ;4017;Navajo County, Arizona;0,3063;0,0513;0,0434
Arizona;AZ;4011;Greenlee County, Arizona;0,2535;0,5834;0,3367
Arizona;AZ;4023;Santa Cruz County, Arizona;0,3292;2,4454;0,0716
Arizona;AZ;4005;Coconino County, Arizona;0,3076;0,3689;0,5633
Arizona;AZ;4025;Yavapai County, Arizona;0,3146;0,6344;0,0320
Arizona;AZ;4013;Maricopa County, Arizona;0,3139;0,4913;0,0046
Arizona;AZ;4015;Mohave County, Arizona;0,3007;0,7367;0,2222
Arizona;AZ;4027;Yuma County, Arizona;0,2938;0,5051;0,0450
Arizona;AZ;4007;Gila County, Arizona;0,3007;0,6389;0,3153
Arizona;AZ;4009;Graham County, Arizona;0,2840;0,6722;0,0276
Arizona;AZ;4003;Cochise County, Arizona;0,3021;5,8025;0,0354
Arizona;AZ;4019;Pima County, Arizona;0,3181;4,0752;0,0542
Arizona;AZ;4001;Apache County, Arizona;0,3389;2,8485;0,0654
Arkansas;AR;5067;Jackson County, Arkansas;0,3132;0,6333;0,0307
Arkansas;AR;5093;Mississippi County, Arkansas;0,3243;0,5345;0,4299
Arkansas;AR;5077;Lee County, Arkansas;0,2993;0,0407;0,5745
Arkansas;AR;5087;Madison County, Arkansas;0,3097;0,7200;0,2324
Arkansas;AR;5043;Drew County, Arkansas;0,3257;0,6020;0,0359
Arkansas;AR;5045;Faulkner County, Arkansas;0,0313;0,6181;0,0308
Arkansas;AR;5065;Izard County, Arkansas;0,2993;0,7423;0,2040
Arkansas;AR;5115;Pope County, Arkansas;0,3014;0,7209;0,2213
Arkansas;AR;5141;Van Buren County, Arkansas;0,3042;0,7563;0,2174
Arkansas;AR;5071;Johnson County, Arkansas;0,0313;0,6683;0,2665
Arkansas;AR;5015;Carroll County, Arkansas;0,3111;0,6309;0,3105
Arkansas;AR;5049;Fulton County, Arkansas;0,2924;0,0727;0,2236
Arkansas;AR;5009;Boone County, Arkansas;0,3132;0,0076;0,0182
Arkansas;AR;5007;Benton County, Arkansas;0,3042;0,6292;0,0289
Arkansas;AR;5143;Washington County, Arkansas;0,3201;0,0508;0,0406
Arkansas;AR;5129;Searcy County, Arkansas;0,3028;0,7927;0,1612
Arkansas;AR;5073;Lafayette County, Arkansas;0,3535;0,6149;0,0361
Arkansas;AR;5111;Poinsett County, Arkansas;0,3014;5,9059;0,0352
Arkansas;AR;5101;Newton County, Arkansas;0,3035;0,7661;0,0186
Arkansas;AR;5149;Yell County, Arkansas;0,2674;0,7162;0,0229
Arkansas;AR;5113;Polk County, Arkansas;0,2896;0,0804;0,0147
Arkansas;AR;5041;Desha County, Arkansas;0,0326;4,5038;0,0524
Arkansas;AR;5029;Conway County, Arkansas;0,3382;6,1154;0,0335
Arkansas;AR;5125;Saline County, Arkansas;0,2736;0,6819;0,2519
Arkansas;AR;5017;Chicot County, Arkansas;0,3535;0,4109;0,0563
Arkansas;AR;5019;Clark County, Arkansas;0,3243;0,5171;0,4240
Arkansas;AR;5119;Pulaski County, Arkansas;0,3347;3,8362;0,5604
Arkansas;AR;5089;Marion County, Arkansas;0,2993;0,7490;0,2032
Arkansas;AR;5063;Independence County, Arkansas;0,3188;0,7299;0,2116
Arkansas;AR;5035;Crittenden County, Arkansas;0,3236;0,4375;0,0526
Arkansas;AR;5085;Lonoke County, Arkansas;0,2715;0,7369;0,2088
Arkansas;AR;5059;Hot Spring County, Arkansas;0,2819;0,0685;0,2634
Arkansas;AR;5047;Franklin County, Arkansas;0,3111;0,0744;0,0203
Arkansas;AR;5031;Craighead County, Arkansas;0,3285;0,0644;0,0296
