state;state_abbreviation;fips;county;financial_inequality;median_age;republican_vote_proportion;democrats_vote_proportion
Texas;TX;48099;Coryell County, Texas;0,382;29,1;0,6737;0,279
Texas;TX;48113;Dallas County, Texas;0,492;32,3;0,3489;0,6113
Texas;TX;48251;Johnson County, Texas;0,405;36,1;0,7748;0,1917
Texas;TX;48281;Lampasas County, Texas;0,435;40,1;0,7818;0,1815
Texas;TX;48409;San Patricio County, Texas;0,436;35,1;0,6045;0,3637
Texas;TX;48425;Somervell County, Texas;0,453;39,2;0,8271;0,1393
Texas;TX;48487;Wilbarger County, Texas;0,454;36,6;0,772;0,1968
Utah;UT;49051;Wasatch County, Utah;0,413;31,3;0,5045;0,2527
Utah;UT;49053;Washington County, Utah;0,408;31,8;0,6882;0,1667
Virginia;VA;51009;Amherst County, Virginia;0,397;41,1;0,6359;0,3288
Virginia;VA;51021;Bland County, Virginia;0,39;44,6;0,8233;0,145
Virginia;VA;51111;Lunenburg County, Virginia;0,392;43;0,5749;0,3991
Washington;WA;53021;Franklin County, Washington;0,429;28,4;0,5518;0,3808
Ohio;OH;39001;Adams County, Ohio;0,466;39;0,7634;0,2073
Ohio;OH;39113;Montgomery County, Ohio;0,45;38,7;0,4839;0,4715
Oklahoma;OK;40049;Garvin County, Oklahoma;0,457;39,6;0,7827;0,1759
Oklahoma;OK;40089;McCurtain County, Oklahoma;0,464;38,2;0,807;0,168
Oklahoma;OK;40133;Seminole County, Oklahoma;0,453;39,1;0,6987;0,2573
Oregon;OR;41027;Hood River County, Oregon;0,405;37,3;0,3104;0,6124
Oregon;OR;41029;Jackson County, Oregon;0,442;41,7;0,5115;0,4196
Pennsylvania;PA;42023;Cameron County, Pennsylvania;0,378;46,9;0,7386;0,2317
Pennsylvania;PA;42125;Washington County, Pennsylvania;0,435;43;0,608;0,3552
South Carolina;SC;45075;Orangeburg County, South Carolina;0,486;37,3;0,3067;0,6763
South Carolina;SC;45081;Saluda County, South Carolina;0,417;39,4;0,6455;0,3282
South Dakota;SD;46055;Haakon County, South Dakota;0,408;50;0,8966;0,0738
South Dakota;SD;46079;Lake County, South Dakota;0,408;38,1;0,595;0,341
South Dakota;SD;46125;Turner County, South Dakota;0,393;43,3;0,7077;0,2316
Georgia;GA;13297;Walton County, Georgia;0,407;37;0,7692;0,2048
Georgia;GA;13309;Wheeler County, Georgia;0,395;36,2;0,676;0,3073
Georgia;GA;13321;Worth County, Georgia;0,426;39,2;0,7433;0,2438
Iowa;IA;19003;Adams County, Iowa;0,458;45,7;0,6691;0,2714
Iowa;IA;19017;Bremer County, Iowa;0,402;38,8;0,5393;0,4007
Iowa;IA;19047;Crawford County, Iowa;0,401;38,9;0,6715;0,2893
Idaho;ID;16015;Boise County, Idaho;0,403;46,3;0,7012;0,2038
Illinois;IL;17109;McDonough County, Illinois;0,462;29,2;0,5259;0,4088
Illinois;IL;17159;Richland County, Illinois;0,442;42,4;0,7518;0,2069
Illinois;IL;17175;Stark County, Illinois;0,447;41,6;0,6564;0,2763
Indiana;IN;18003;Allen County, Indiana;0,428;35,2;0,5748;0,3788
Indiana;IN;18023;Clinton County, Indiana;0,386;37,3;0,717;0,237
Indiana;IN;18025;Crawford County, Indiana;0,411;40,4;0,6563;0,2882
Kansas;KS;20075;Hamilton County, Kansas;0,427;33;0,8146;0,1346
Kansas;KS;20123;Mitchell County, Kansas;0,41;45,1;0,7847;0,1661
Kansas;KS;20127;Morris County, Kansas;0,441;45,9;0,697;0,2282
Mississippi;MS;28037;Franklin County, Mississippi;0,555;40,7;0,6364;0,3487
Mississippi;MS;28065;Jefferson Davis County, Mississippi;0,466;39,7;0,3954;0,5964
Mississippi;MS;28145;Union County, Mississippi;0,432;37,3;0,8054;0,1731
North Carolina;NC;37011;Avery County, North Carolina;0,529;41,7;0,7725;0,2072
North Carolina;NC;37017;Bladen County, North Carolina;0,48;39,9;0,5406;0,446
North Carolina;NC;37069;Franklin County, North Carolina;0,414;39;0,5458;0,4284
