"","state_abbreviation","county","winner","Vote","votes","income","hispanic","white","college","density"
"1","IA","Adair","Donald Trump",0.256,104,47892,1.7,96.8,16.3,13.5
"2","IA","Adams","Ted Cruz",0.297,81,45871,1.1,96.9,13.7,9.5
"3","IA","Allamakee","Donald Trump",0.281,193,48831,5.7,91.5,14.9,22.4
"4","IA","Appanoose","Donald Trump",0.348,292,39208,1.5,96.2,18.3,25.9
"5","IA","Audubon","Ted Cruz",0.361,135,48313,1.1,97.3,16.6,13.8
"6","IA","Benton","Ted Cruz",0.365,596,56669,1.3,96.7,18.8,36.4
"7","IA","Black Hawk","Ted Cruz",0.268,1585,45747,4.2,82.7,25.3,231.7
"8","IA","Boone","Ted Cruz",0.322,566,51826,2.4,94.6,20.3,46
"9","IA","Bremer","Ted Cruz",0.274,408,61216,1.4,95.8,28.3,55.7
"10","IA","Buchanan","Ted Cruz",0.368,308,55553,1.4,96.6,17.1,36.7
"11","IA","Buena Vista","Ted Cruz",0.306,309,46951,24.8,62.6,20,35.2
"12","IA","Butler","Ted Cruz",0.365,332,52026,1.1,97.1,15,25.6
"13","IA","Calhoun","Ted Cruz",0.285,159,44484,2,94.6,19.1,17
"14","IA","Carroll","Donald Trump",0.29,298,48361,2.3,95.5,18.8,36.6
"15","IA","Cass","Donald Trump",0.284,262,43481,2.4,95.7,19,24.7
"16","IA","Cedar","Ted Cruz",0.29,310,58088,1.8,95.9,19.5,31.9
"17","IA","Cerro Gordo","Ted Cruz",0.282,655,44795,4.3,91.6,21,77.7
"18","IA","Cherokee","Donald Trump",0.296,248,48977,3.2,94.2,19.6,20.9
"19","IA","Chickasaw","Donald Trump",0.276,166,43971,2.3,96.2,13.8,24.7
"20","IA","Clarke","Donald Trump",0.363,202,43216,12.1,85.2,14.3,21.5
"21","IA","Clay","Donald Trump",0.285,292,49035,3.2,94.3,18.4,29.4
"22","IA","Clayton","Ted Cruz",0.352,298,47494,1.9,96.2,15.5,23.3
"23","IA","Clinton","Donald Trump",0.307,709,49559,2.9,91.5,17.7,70.7
"24","IA","Crawford","Ted Cruz",0.323,226,46548,27.3,68.5,14.7,23.9
"25","IA","Dallas","Marco Rubio",0.339,2469,73847,6.3,87,43.6,112.4
"26","IA","Davis","Donald Trump",0.386,205,45040,1.2,97.2,16.4,17.4
"27","IA","Decatur","Ted Cruz",0.348,173,36326,2.6,93,18.4,15.9
"28","IA","Delaware","Ted Cruz",0.355,317,54076,1.1,97.4,15.5,30.7
"29","IA","Des Moines","Donald Trump",0.304,659,42451,2.9,88,18.9,96.9
"30","IA","Dickinson","Donald Trump",0.285,342,56136,1.7,96.4,25.4,43.8
"31","IA","Dubuque","Donald Trump",0.273,1087,51475,2.2,91.9,27.1,154
"32","IA","Emmet","Ted Cruz",0.355,143,48601,10.4,86.9,15.3,26
"33","IA","Fayette","Ted Cruz",0.341,341,45542,2.2,94.6,18.4,28.6
"34","IA","Floyd","Ted Cruz",0.401,305,43826,2.3,93.1,15.9,32.6
"35","IA","Franklin","Ted Cruz",0.358,225,48355,11.8,86.2,15.1,18.4
"36","IA","Fremont","Donald Trump",0.427,182,50520,2.6,95.3,20.5,14.6
